hierid,flexraw,Category
MUS.6,-0.8985866112668219,Bottom 10
COL.14.543,-0.8897722088593069,Bottom 10
COL.22.788,-0.8735641729830712,Bottom 10
COL.25.850,-0.8620897988052642,Bottom 10
COL.7.331,-0.8576673651436457,Bottom 10
AUS.4.235,-0.8538761013977246,Bottom 10
COL.17.R5c3c74ad40e43d6b,-0.8488064626320643,Bottom 10
CAN.2.42.1079,-0.8401518016701902,Bottom 10
COL.17.631,-0.8392769420847003,Bottom 10
COL.25.841,-0.8381980221151503,Bottom 10
RUS.14.396.396,0.6698674313750765,Top 10
CHN.30.315.2172,0.6725935475897487,Top 10
RUS.65.1747.1864,0.6737726008036429,Top 10
RUS.65.1738.1855,0.6747100681644637,Top 10
RUS.14.397.397,0.6757096461172404,Top 10
RUS.65.1728.1845,0.6800005457546543,Top 10
RUS.65.1742.1859,0.6917921489554981,Top 10
RUS.65.1725.1842,0.6988438760902231,Top 10
RUS.65.1753.1870,0.7064748046952013,Top 10
RUS.65.1741.1858,0.7443476573654038,Top 10
