hierid,rawtotal,Category
SAU.13,-1.8475733533215735,Bottom 10
SAU.1,-1.7933787304418969,Bottom 10
SAU.2,-1.7308194196866358,Bottom 10
CHL.12.45.258,-1.685177832300747,Bottom 10
AUS.4.174,-1.677273875052949,Bottom 10
ISR.5,-1.6752098587320745,Bottom 10
AUS.11.1376,-1.6722015800629637,Bottom 10
USA.44.2597,-1.6638245722852298,Bottom 10
AUS.4.220,-1.6400598900862102,Bottom 10
ISR.2,-1.6400588328817067,Bottom 10
ETH.3.15.68,0.3362914605200657,Top 10
MMR.4.13.70,0.3388542460513072,Top 10
ETH.10.59.R28c8293b0aa0dcaf,0.3419221227197064,Top 10
ETH.8.38.Rabbc941d33500379,0.3476826473737674,Top 10
NPL.2.6.34,0.3509008102212681,Top 10
ETH.8.41.Rbe6b87e5e060cd3a,0.35926814068516827,Top 10
ETH.3.23.R63c14932f1110d07,0.36282685323409763,Top 10
ETH.8.36.R10b41422cd38bafc,0.37714715656607706,Top 10
ETH.8.38.R643231eaea6a94e7,0.3948245041181081,Top 10
KIR,0.8227844098538688,Top 10
