hierid,flexraw,Category
TZA.8.36,-2.707362335304664,Bottom 10
ETH.2.10.45,-2.5504726527931076,Bottom 10
ETH.2.12,-2.5466994202596855,Bottom 10
ETH.2.10.R2ea9fc73b058b649,-2.528023317932853,Bottom 10
ETH.9.46.404,-2.508127262543413,Bottom 10
ETH.2.10.47,-2.45756798249122,Bottom 10
ETH.8.35.271,-2.4349045445212942,Bottom 10
ETH.2.8.31,-2.4279433794579157,Bottom 10
MWI.8,-2.4206277219910466,Bottom 10
ETH.9.46.R95c40417351bb4d1,-2.346888169348118,Bottom 10
CHL.6.18.112,1.1825436071634594,Top 10
CHL.6.18.113,1.1836166919526367,Top 10
CHL.4.10.51,1.2164216721573062,Top 10
CHL.2.5.14,1.2231788635966427,Top 10
CHL.2.5.12,1.2256118566900096,Top 10
CHL.4.11.52,1.2295897751878608,Top 10
CHL.6.18.115,1.2594661962782634,Top 10
CHL.4.12.58,1.2595374982784209,Top 10
CHL.4.10.50,1.2770498345824237,Top 10
CHL.6.18.114,1.2797816271952167,Top 10
