hierid,flexraw,Category
TZA.8.36,-2.517670306705,Bottom 10
ETH.2.10.45,-2.3341488782752213,Bottom 10
ETH.2.12,-2.330695739337614,Bottom 10
ETH.2.10.R2ea9fc73b058b649,-2.313603987078452,Bottom 10
ETH.9.46.404,-2.295395160505579,Bottom 10
ETH.2.10.47,-2.2491241839217433,Bottom 10
MWI.8,-2.2342470912711825,Bottom 10
ETH.8.35.271,-2.2283829928296743,Bottom 10
ETH.2.8.31,-2.2220122425278235,Bottom 10
ETH.9.46.R95c40417351bb4d1,-2.1478320223520866,Bottom 10
CHL.6.18.112,1.1335812436690527,Top 10
CHL.6.18.113,1.1346098775525661,Top 10
CHL.4.10.51,1.166056600256221,Top 10
CHL.2.5.14,1.172533935173806,Top 10
CHL.2.5.12,1.1748662246748807,Top 10
CHL.4.11.52,1.1786794217696845,Top 10
CHL.6.18.115,1.2073189055126226,Top 10
CHL.4.12.58,1.2073873380981954,Top 10
CHL.4.10.50,1.2241744879565193,Top 10
CHL.6.18.114,1.2267933802441924,Top 10
