hierid,flexraw,Category
TZA.8.36,-1.16680254230632,Bottom 10
ETH.2.12,-1.045463729909893,Bottom 10
ETH.2.10.45,-1.0366800207264883,Bottom 10
ETH.2.10.R2ea9fc73b058b649,-1.0294120072553414,Bottom 10
MWI.8,-1.0183435727259276,Bottom 10
ETH.9.46.404,-1.0107421129697733,Bottom 10
ETH.2.8.31,-1.0063851656721927,Bottom 10
COL.15.607,-0.9942732902799261,Bottom 10
ETH.2.10.47,-0.990356134949724,Bottom 10
ETH.8.35.271,-0.9863250741851879,Bottom 10
JPN.32.1324,0.5760581178638979,Top 10
JPN.32.1326,0.5843777804691896,Top 10
JPN.32.1322,0.5912193604965584,Top 10
JPN.32.1333,0.5912633509983449,Top 10
CHL.4.12.58,0.6095892692605417,Top 10
CHL.12.45.260,0.6440870696319934,Top 10
JPN.32.1325,0.65024979909983,Top 10
CHL.2.5.12,0.7506141540317185,Top 10
CHL.4.11.52,0.7733318762970676,Top 10
CHL.4.10.50,0.8003349741993242,Top 10
