hierid,rawtotal,Category
PER.21.162.Rabb9c8c56d8820ee,-5.042800669174302,Bottom 10
PER.21.162.1595,-4.993748890610089,Bottom 10
IND.23.355.1500,-4.738570260078541,Bottom 10
IND.23.350.1495,-4.680741245143742,Bottom 10
PER.21.172.1673,-4.662568908079296,Bottom 10
IND.23.351.1496,-4.640858558555627,Bottom 10
PNG.19.86,-4.534646365228924,Bottom 10
IDN.23.303,-4.44859945575039,Bottom 10
PER.21.172.1677,-4.329842001199513,Bottom 10
PER.8.79.770,-4.282808057282527,Bottom 10
RUS.65.1746.1863,2.1718936031546763,Top 10
RUS.14.396.396,2.184704961880883,Top 10
RUS.65.1741.1858,2.196805401515122,Top 10
CHN.30.315.2171,2.2326588643700456,Top 10
RUS.65.1723.1840,2.248893594629024,Top 10
RUS.65.1747.1864,2.2562013668309744,Top 10
RUS.65.1738.1855,2.285349310883662,Top 10
RUS.14.397.397,2.3000678709230473,Top 10
RUS.65.1742.1859,2.3517076068180085,Top 10
CHN.30.315.2172,2.3894691417606526,Top 10
