hierid,flexraw,Category
PER.21.162.Rabb9c8c56d8820ee,-1.3669495292060825,Bottom 10
PNG.19.86,-1.3619242921333226,Bottom 10
PER.21.162.1595,-1.3443638879294404,Bottom 10
IND.23.350.1495,-1.2969162744960938,Bottom 10
MMR.10.35.167,-1.2875128149517798,Bottom 10
IND.23.355.1500,-1.284326438660094,Bottom 10
IDN.23.303,-1.2674735715090677,Bottom 10
PER.21.172.1673,-1.2649440888187753,Bottom 10
MMR.10.35.166,-1.2587052026276393,Bottom 10
IND.23.351.1496,-1.2381565939888524,Bottom 10
RUS.65.1754.1871,0.8045443873104183,Top 10
RUS.65.1723.1840,0.8238810325324868,Top 10
RUS.65.1746.1863,0.8307820784257776,Top 10
RUS.14.396.396,0.839962843832205,Top 10
RUS.65.1741.1858,0.8428227025521816,Top 10
RUS.65.1738.1855,0.846276916204207,Top 10
RUS.65.1747.1864,0.8690552086349267,Top 10
RUS.14.397.397,0.8883271861544504,Top 10
RUS.65.1742.1859,0.9232795825750606,Top 10
CHN.30.315.2172,0.9303858997494953,Top 10
