hierid,flexraw,Category
PNG.19.86,-1.3295920516183584,Bottom 10
PER.21.162.Rabb9c8c56d8820ee,-1.3158609692995142,Bottom 10
PER.21.162.1595,-1.2941195463383242,Bottom 10
MMR.10.35.167,-1.2875128149517798,Bottom 10
IND.23.350.1495,-1.2870199816747545,Bottom 10
IND.23.355.1500,-1.2745261805169064,Bottom 10
IDN.23.303,-1.2598505905169388,Bottom 10
MMR.10.35.166,-1.2587052026276393,Bottom 10
IND.23.351.1496,-1.2287088418316958,Bottom 10
MMR.10.35.168,-1.2232575653330446,Bottom 10
RUS.65.1754.1871,0.7953599197250432,Top 10
RUS.65.1723.1840,0.8144759134586084,Top 10
RUS.65.1746.1863,0.8212981523436961,Top 10
RUS.14.396.396,0.8303741954992292,Top 10
RUS.65.1741.1858,0.8332015285378159,Top 10
RUS.65.1738.1855,0.8366161423858155,Top 10
RUS.65.1747.1864,0.8591344017874813,Top 10
RUS.14.397.397,0.8781864083496982,Top 10
RUS.65.1742.1859,0.9127396823142541,Top 10
CHN.30.315.2172,0.9222536210819012,Top 10
