hierid,flexraw,Category
PER.21.162.Rabb9c8c56d8820ee,-3.0978084449952306,Bottom 10
PER.21.162.1595,-3.0677510874579794,Bottom 10
IND.23.355.1500,-2.9733782625312197,Bottom 10
IND.23.350.1495,-2.9331467707496706,Bottom 10
IND.23.351.1496,-2.9100051896226176,Bottom 10
PER.21.172.1673,-2.8643059041044774,Bottom 10
PNG.19.86,-2.8228660246438855,Bottom 10
IDN.23.303,-2.7584978658576325,Bottom 10
MMR.10.35.167,-2.6915832241055315,Bottom 10
IND.23.352.1497,-2.6691518339055174,Bottom 10
RUS.65.1746.1863,1.3367932052688716,Top 10
RUS.14.396.396,1.344678944115918,Top 10
RUS.65.1741.1858,1.35213261845308,Top 10
CHN.30.315.2171,1.37489253942375,Top 10
RUS.65.1723.1840,1.3841904622851267,Top 10
RUS.65.1747.1864,1.3886889224756063,Top 10
RUS.65.1738.1855,1.406630124127108,Top 10
RUS.14.397.397,1.41568115684061,Top 10
RUS.65.1742.1859,1.4474727452270961,Top 10
CHN.30.315.2172,1.471456943431861,Top 10
