hierid,flexraw,Category
SAU.3,-6.099458390045491,Bottom 10
SAU.4,-6.093473667935503,Bottom 10
SAU.13,-6.068880456174726,Bottom 10
LBY.7,-6.056172935304682,Bottom 10
SAU.8,-6.044966545776901,Bottom 10
SAU.5,-6.038238374201582,Bottom 10
LBY.23,-6.026419213150705,Bottom 10
LBY.22,-6.022939181737551,Bottom 10
USA.5.216,-6.018048930898445,Bottom 10
LBY.6,-6.013284898729437,Bottom 10
PNG.3.13,2.358411102353803,Top 10
KHM.3.28.R46eddb9140d0d7a9,2.3644918139201767,Top 10
PNG.8.42,2.366105520866507,Top 10
KHM.3.Rd90ec6249611dee1,2.36965685424153,Top 10
PNG.4.16,2.3751662676318097,Top 10
KHM.R2c53040a82ef8ee8,2.4004336776972584,Top 10
KHM.6,2.438681971124459,Top 10
IDN.23.297,2.4415639820918518,Top 10
PNG.4.17,2.482696792451456,Top 10
PNG.15.66,2.5129553104722815,Top 10
