hierid,flexraw,Category
SAU.3,-6.114348756957024,Bottom 10
SAU.4,-6.108349627553498,Bottom 10
SAU.13,-6.083696236469272,Bottom 10
LBY.7,-6.068638964434755,Bottom 10
SAU.8,-6.059724427632375,Bottom 10
SAU.5,-6.052979717248722,Bottom 10
LBY.23,-6.038822853644406,Bottom 10
LBY.22,-6.035336417417923,Bottom 10
USA.5.216,-6.027156814693811,Bottom 10
IRN.25.220,-6.026312124589892,Bottom 10
VNM.3.31,2.361358061509315,Top 10
KHM.3.28.R46eddb9140d0d7a9,2.3623590586274363,Top 10
PNG.8.42,2.3630224980307313,Top 10
KHM.3.Rd90ec6249611dee1,2.367519313387814,Top 10
PNG.4.16,2.3720715977322917,Top 10
KHM.R2c53040a82ef8ee8,2.398268826328228,Top 10
KHM.6,2.4364826223556637,Top 10
IDN.23.297,2.451732337478854,Top 10
PNG.4.17,2.479462018053582,Top 10
PNG.15.66,2.509681106961383,Top 10
