hierid,flexraw,Category
DZA.41.1258,-3.458023788220178,Bottom 10
DZA.1.16,-3.450640959866733,Bottom 10
DZA.1.5,-3.4287427188395174,Bottom 10
DZA.1.1,-3.414360296147971,Bottom 10
DZA.41.1261,-3.409846119796218,Bottom 10
DZA.1.R0407246e18910365,-3.377884648406459,Bottom 10
DZA.41.1256,-3.373382050818954,Bottom 10
KWT.3,-3.372869498632891,Bottom 10
KWT.4,-3.3711237993007375,Bottom 10
KWT.2,-3.366411605301603,Bottom 10
VNM.5.49.507.Rec5d9fac25d56474,1.3240779605648958,Top 10
VNM.2.20.R1e4f623973c063b9,1.3295365718650416,Top 10
KHM.17.112.1024.1027,1.3319115927732579,Top 10
KHM.17.110.1002.1005,1.3330111299619163,Top 10
KHM.17.111.1013.1016,1.3369580876629876,Top 10
MMR.8.27.135,1.3401494504022693,Top 10
MMR.11.42.198,1.3439057200567834,Top 10
VNM.2.20.R6fe89b6a356f6765,1.3573759475804472,Top 10
MMR.11.41.194,1.3577724267867293,Top 10
VNM.3.31,1.358271539206934,Top 10
