hierid,flexraw,Category
DZA.41.1258,-3.462643973521928,Bottom 10
DZA.1.16,-3.4552508486032365,Bottom 10
DZA.1.5,-3.4333233520225437,Bottom 10
DZA.1.1,-3.41892180968092,Bottom 10
DZA.41.1261,-3.414402154681588,Bottom 10
DZA.1.R0407246e18910365,-3.3823977764677964,Bottom 10
DZA.41.1256,-3.377888933903903,Bottom 10
KWT.3,-3.374465537522516,Bottom 10
KWT.4,-3.372719143897141,Bottom 10
DZA.41.1260,-3.369299548249971,Bottom 10
VNM.5.49.507.Rec5d9fac25d56474,1.324037856444696,Top 10
VNM.2.20.R1e4f623973c063b9,1.3294961391363334,Top 10
KHM.17.112.1024.1027,1.3326186931641053,Top 10
KHM.17.110.1002.1005,1.333718814087585,Top 10
KHM.17.111.1013.1016,1.3376678671944988,Top 10
MMR.8.27.135,1.3401494504022693,Top 10
MMR.11.42.198,1.3439057200567834,Top 10
VNM.2.20.R6fe89b6a356f6765,1.3573348448484943,Top 10
MMR.11.41.194,1.3577724267867293,Top 10
VNM.3.31,1.3582303302113088,Top 10
