hierid,rawtotal,Category
SAU.3,-6.364488484511315,Bottom 10
SAU.4,-6.358492464354361,Bottom 10
SAU.13,-6.332769769181829,Bottom 10
LBY.7,-6.314200506522039,Bottom 10
SAU.8,-6.308022001777566,Bottom 10
SAU.5,-6.301273826898935,Bottom 10
USA.5.216,-6.2890453034431735,Bottom 10
LBY.23,-6.283168953779524,Bottom 10
LBY.22,-6.279545341842153,Bottom 10
QAT.R30a7711ec96544b9,-6.2737517252318575,Bottom 10
KHM.3.28.R46eddb9140d0d7a9,2.4509689856461203,Top 10
VNM.3.31,2.4529635265551804,Top 10
PNG.8.42,2.453493029539195,Top 10
KHM.3.Rd90ec6249611dee1,2.4563003158640067,Top 10
PNG.4.16,2.4628786752482354,Top 10
KHM.R2c53040a82ef8ee8,2.488194767837177,Top 10
KHM.6,2.5278447183266257,Top 10
IDN.23.297,2.546447363831067,Top 10
PNG.4.17,2.5743801899529783,Top 10
PNG.15.66,2.6057596665388436,Top 10
