hierid,flexraw,Category
SAU.3,-6.116146511180854,Bottom 10
SAU.4,-6.11014493011166,Bottom 10
SAU.13,-6.085483898833925,Bottom 10
LBY.7,-6.077194658068,Bottom 10
SAU.8,-6.06150547999663,Bottom 10
SAU.5,-6.054758488699492,Bottom 10
LBY.23,-6.047336499759845,Bottom 10
LBY.22,-6.043845527856832,Bottom 10
LBY.6,-6.034156402338193,Bottom 10
IRN.25.220,-6.0311782442962585,Bottom 10
VNM.3.31,2.3611646282993215,Top 10
KHM.3.28.R46eddb9140d0d7a9,2.3630014125573067,Top 10
PNG.8.42,2.3645020038664937,Top 10
KHM.3.Rd90ec6249611dee1,2.368163210968269,Top 10
PNG.4.16,2.373556910100933,Top 10
KHM.R2c53040a82ef8ee8,2.3989209364515154,Top 10
KHM.6,2.4371451240023303,Top 10
IDN.23.297,2.449508455591963,Top 10
PNG.4.17,2.4810145747329466,Top 10
PNG.15.66,2.5112525879690804,Top 10
