hierid,flexraw,Category
DZA.1.16,-1.1720837776594524,Bottom 10
DZA.41.1258,-1.1648711685455795,Bottom 10
DZA.1.1,-1.1493195321110674,Bottom 10
DZA.41.1260,-1.144483341223435,Bottom 10
DZA.41.1255,-1.1394463877864154,Bottom 10
DZA.41.1261,-1.1384680348118845,Bottom 10
DZA.1.R0407246e18910365,-1.1242084176347344,Bottom 10
DZA.41.1256,-1.1210729702318802,Bottom 10
DZA.22.637,-1.0950487515721665,Bottom 10
DZA.41.1263,-1.0870708660312653,Bottom 10
IND.20.273.1039,0.4330352447240384,Top 10
IND.20.271.1034,0.4332785290640652,Top 10
IND.20.261.1003,0.43763058308307773,Top 10
IND.12.126.403,0.43897528644369826,Top 10
IND.20.305.1155,0.4424272761406374,Top 10
IND.12.126.402,0.44447220710322677,Top 10
IND.20.267.1020,0.44452925038084623,Top 10
IND.20.271.1035,0.44576351325469155,Top 10
IND.20.305.1153,0.4465140999073691,Top 10
IND.20.305.1157,0.460601846938217,Top 10
