hierid,rawtotal,Category
DZA.1.16,-1.761119611662853,Bottom 10
DZA.41.1260,-1.7577775394388924,Bottom 10
DZA.41.1258,-1.753096230707868,Bottom 10
DZA.1.1,-1.7451497183478026,Bottom 10
DZA.41.1261,-1.742515283352953,Bottom 10
DZA.41.1255,-1.7411042912842543,Bottom 10
DZA.1.R0407246e18910365,-1.732904366427419,Bottom 10
DZA.41.1256,-1.7280508341707135,Bottom 10
DZA.44.1336,-1.708213091269377,Bottom 10
DZA.7.209,-1.7015755075117043,Bottom 10
ITA.19.103,0.43521699504170186,Top 10
THA.76.905.R08b5b8748ae0f989,0.43568537233493826,Top 10
ITA.17.99,0.4405394922103177,Top 10
ECU.13.122.R9155a45907e85451,0.4408568720677869,Top 10
ECU.13.R0d893b7b03759f34,0.44138937156296576,Top 10
CHN.31.322.2239,0.44152299841763587,Top 10
ECU.13.122.589,0.45536478994913565,Top 10
THA.66,0.4690752620290068,Top 10
THA.18,0.46952215245826684,Top 10
AUT.7.88,0.4734999170116907,Top 10
