hierid,flexraw,Category
DZA.1.16,-2.5296118453697427,Bottom 10
DZA.41.1260,-2.5248097310341238,Bottom 10
DZA.41.1258,-2.5181145040748407,Bottom 10
DZA.1.1,-2.509407898275811,Bottom 10
DZA.41.1261,-2.502955697557484,Bottom 10
DZA.41.1255,-2.5008625252308523,Bottom 10
DZA.1.R0407246e18910365,-2.489190822053984,Bottom 10
DZA.41.1256,-2.482110514861803,Bottom 10
DZA.44.1336,-2.4536507035955193,Bottom 10
DZA.7.209,-2.444081286782648,Bottom 10
ECU.13.R0d893b7b03759f34,0.638208875124949,Top 10
THA.76.905.R08b5b8748ae0f989,0.6393122825487508,Top 10
CHN.31.322.2239,0.6472094327775794,Top 10
ITA.19.103,0.6480686997561184,Top 10
CAN.2.36.R9f505f59d9d74173,0.6481000344565063,Top 10
ITA.17.99,0.655609484530018,Top 10
ECU.13.122.589,0.6604493637151412,Top 10
THA.66,0.6885576078998766,Top 10
THA.18,0.6891599237209783,Top 10
AUT.7.88,0.7183224413867991,Top 10
