hierid,flexraw,Category
MMR.10.35.167,-1.8002779083243035,Bottom 10
MMR.10.35.166,-1.7796606548944796,Bottom 10
MMR.10.35.168,-1.7215122528308844,Bottom 10
MMR.10.35.169,-1.7175669358084724,Bottom 10
MMR.10.35.165,-1.7122058612878883,Bottom 10
MMR.10.32.158,-1.675246113706167,Bottom 10
MMR.10.33.160,-1.618227588515317,Bottom 10
MMR.10.33.162,-1.616949455804002,Bottom 10
MMR.10.33.161,-1.6068071063803067,Bottom 10
MMR.10.33.163,-1.5975241045994149,Bottom 10
RUS.45.1105.1105,0.6811622541965,Top 10
RUS.45.1106.1106,0.6853849662809232,Top 10
RUS.65.1754.1871,0.7068329400226744,Top 10
RUS.65.1723.1840,0.7127335021388164,Top 10
RUS.65.1746.1863,0.7262427725453532,Top 10
RUS.14.396.396,0.7408671065854885,Top 10
RUS.65.1738.1855,0.7497086726693288,Top 10
RUS.14.397.397,0.8001672129231502,Top 10
RUS.65.1747.1864,0.8091715718175689,Top 10
RUS.65.1742.1859,0.8573044343918945,Top 10
