hierid,flexraw,Category
DZA.41.1258,-2.1147956331202407,Bottom 10
DZA.1.16,-2.1029794343061337,Bottom 10
DZA.1.5,-2.09951518247854,Bottom 10
SDN.6.15.73.224,-2.0767266918140135,Bottom 10
DZA.41.1261,-2.075334115382587,Bottom 10
SDN.6.15.73.226,-2.073393244567593,Bottom 10
DZA.1.1,-2.061919018254925,Bottom 10
DZA.41.1260,-2.056801872333359,Bottom 10
DZA.41.1256,-2.0457518442908342,Bottom 10
DZA.1.R0407246e18910365,-2.042360605146705,Bottom 10
NOR.3.R40b8f6176c002171,1.0188396253836278,Top 10
ITA.10.55,1.0303829686518233,Top 10
CAN.11.210,1.0651060699683172,Top 10
NOR.3.R108700adad7b885f,1.067342260916717,Top 10
CAN.2.36.R9f505f59d9d74173,1.0748809213665462,Top 10
AUT.7.88,1.143900391814883,Top 10
AUT.7.R72516bf037df9b20,1.1601418087901259,Top 10
ITA.19.103,1.199691423095884,Top 10
ITA.17.99,1.2229953092686199,Top 10
CHE.R9aeb357984866f15,1.2554062722038049,Top 10
