hierid,flexraw,Category
SDN.6.15.73.224,-2.3137034285369924,Bottom 10
SDN.6.15.73.226,-2.309989209844581,Bottom 10
DZA.41.1258,-2.243962763754389,Bottom 10
DZA.1.16,-2.2314247754908965,Bottom 10
DZA.1.5,-2.2277490581969848,Bottom 10
DZA.41.1261,-2.202091137476044,Bottom 10
DZA.1.1,-2.1878567766902264,Bottom 10
DZA.41.1260,-2.182427192072664,Bottom 10
DZA.41.1256,-2.1707023451272045,Bottom 10
DZA.1.R0407246e18910365,-2.16710370977757,Bottom 10
ECU.18.168.Ra5339466911a2d7e,1.0509174038024893,Top 10
CAN.11.210,1.0596494626584585,Top 10
ECU.18.168.812,1.0647960296086314,Top 10
CAN.2.36.R9f505f59d9d74173,1.0693743504832085,Top 10
ECU.18.171.Rab06cccfd9035a85,1.0707806344456297,Top 10
AUT.7.88,1.1639063648327823,Top 10
ITA.19.103,1.1679674798624327,Top 10
AUT.7.R72516bf037df9b20,1.1804319353600963,Top 10
ITA.17.99,1.1906549116978593,Top 10
CHE.R9aeb357984866f15,1.2689678063461038,Top 10
